           t           p         gam          mw
   3.4678E+03  2.4132E+01  1.1236E+00  2.7291E+01
   3.3182E+03  1.4014E+01  1.1194E+00  2.7697E+01
   2.8428E+03  1.8387E+00  1.1076E+00  2.9161E+01
   3.4868E+03  2.7579E+01  1.1242E+00  2.7339E+01
   3.3352E+03  1.6013E+01  1.1200E+00  2.7745E+01
   2.8540E+03  2.0993E+00  1.1081E+00  2.9205E+01
   3.5035E+03  3.1026E+01  1.1248E+00  2.7382E+01
   3.3503E+03  1.8011E+01  1.1205E+00  2.7787E+01
   2.8639E+03  2.3597E+00  1.1086E+00  2.9245E+01
   3.5186E+03  3.4474E+01  1.1252E+00  2.7421E+01
   3.3638E+03  2.0009E+01  1.1210E+00  2.7825E+01
   2.8727E+03  2.6199E+00  1.1090E+00  2.9280E+01
   3.2048E+03  6.8947E+00  1.1186E+00  2.8324E+01
   3.0715E+03  4.0097E+00  1.1153E+00  2.8730E+01
   2.6329E+03  5.2689E-01  1.1080E+00  3.0159E+01
   3.2543E+03  1.0342E+01  1.1205E+00  2.8453E+01
   3.1157E+03  6.0105E+00  1.1172E+00  2.8857E+01
   2.6597E+03  7.8767E-01  1.1102E+00  3.0271E+01
   3.2898E+03  1.3789E+01  1.1219E+00  2.8547E+01
   3.1472E+03  8.0102E+00  1.1185E+00  2.8948E+01
   2.6785E+03  1.0477E+00  1.1117E+00  3.0351E+01
   3.3175E+03  1.7237E+01  1.1229E+00  2.8620E+01
   3.1718E+03  1.0009E+01  1.1196E+00  2.9020E+01
   2.6928E+03  1.3070E+00  1.1130E+00  3.0412E+01
   3.3402E+03  2.0684E+01  1.1238E+00  2.8680E+01
   3.1919E+03  1.2007E+01  1.1204E+00  2.9078E+01
   2.7044E+03  1.5659E+00  1.1140E+00  3.0462E+01
   3.3595E+03  2.4132E+01  1.1245E+00  2.8732E+01
   3.2090E+03  1.4005E+01  1.1212E+00  2.9128E+01
   2.7142E+03  1.8244E+00  1.1149E+00  3.0503E+01
   3.3762E+03  2.7579E+01  1.1252E+00  2.8777E+01
   3.2238E+03  1.6002E+01  1.1218E+00  2.9171E+01
   2.7225E+03  2.0826E+00  1.1157E+00  3.0539E+01
   3.3910E+03  3.1026E+01  1.1257E+00  2.8816E+01
   3.2368E+03  1.7998E+01  1.1224E+00  2.9210E+01
   2.7298E+03  2.3404E+00  1.1164E+00  3.0571E+01
   3.4043E+03  3.4474E+01  1.1263E+00  2.8852E+01
   3.2485E+03  1.9994E+01  1.1229E+00  2.9244E+01
   2.7362E+03  2.5980E+00  1.1170E+00  3.0599E+01
   3.1075E+03  6.8947E+00  1.1211E+00  2.9393E+01
   2.9705E+03  4.0044E+00  1.1189E+00  2.9781E+01
   2.4988E+03  5.1998E-01  1.1203E+00  3.1072E+01
   3.1509E+03  1.0342E+01  1.1232E+00  2.9509E+01
   3.0084E+03  6.0019E+00  1.1210E+00  2.9892E+01
   2.5165E+03  7.7650E-01  1.1235E+00  3.1155E+01
   3.1818E+03  1.3789E+01  1.1247E+00  2.9593E+01
   3.0351E+03  7.9981E+00  1.1226E+00  2.9972E+01
   2.5284E+03  1.0319E+00  1.1258E+00  3.1212E+01
   3.2058E+03  1.7237E+01  1.1259E+00  2.9658E+01
   3.0558E+03  9.9932E+00  1.1239E+00  3.0033E+01
   2.5372E+03  1.2866E+00  1.1277E+00  3.1255E+01
   3.2254E+03  2.0684E+01  1.1269E+00  2.9711E+01
   3.0727E+03  1.1987E+01  1.1249E+00  3.0083E+01
   2.5442E+03  1.5406E+00  1.1292E+00  3.1289E+01
   3.2420E+03  2.4132E+01  1.1277E+00  2.9756E+01
   3.0869E+03  1.3981E+01  1.1257E+00  3.0126E+01
   2.5499E+03  1.7940E+00  1.1306E+00  3.1317E+01
   3.2563E+03  2.7579E+01  1.1285E+00  2.9796E+01
   3.0992E+03  1.5974E+01  1.1265E+00  3.0163E+01
   2.5547E+03  2.0470E+00  1.1317E+00  3.1342E+01
